Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Methagu,100,"Biography, History",9.5,Not Rated,Kittu,"Lizzie Antony, Eshwar Basha, Chandrasekar, Kutti Mani",8650,2021,0.0,Biography
Jai Bhim,164,"Crime, Drama, Mystery",9.3,TV-MA,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan",175282,2021,0.0,Crime
The Chaos Class,87,"Comedy, Drama",9.3,Not Rated,Ertem Egilmez,"Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan",39749,1975,0.0,Comedy
The Shawshank Redemption,142,Drama,9.3,R,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",2548959,1994,28.34,Drama
The Godfather,175,"Crime, Drama",9.2,R,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",1753202,1972,134.97,Crime
Mirror Game,147,"Crime, Mystery, Thriller",9.1,Not Rated,Amitabh Reza Chowdhury,"Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George",25624,2016,0.0,Crime
Soorarai Pottru,153,Drama,9.1,TV-MA,Sudha Kongara,"Suriya, Paresh Rawal, Mohan Babu, Gaurav Pareek",107596,2020,0.0,Drama
Aloko Udapadi,113,"Drama, History",9.0,Not Rated,Chathra Weeraman,"Uddika Premarathna, Dilhani Ekanayake, Roshan Ravindra, Menaka Peiris",6760,2017,0.0,Drama
#Home,158,Drama,9.0,Not Rated,Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen",11829,2021,0.0,Drama
The Dark Knight,152,"Action, Crime, Drama",9.0,PG-13,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2499388,2008,534.86,Action
Tosun Pasa,90,"Comedy, History",9.0,Not Rated,Kartal Tibet,"Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen",22906,1976,0.0,Comedy
The Message,207,"Biography, Drama, History",9.0,Not Rated,Moustapha Akkad,"Abdallah Gheith, Mona Wassef, Hamdy Gheith, Ali Achmed Taram",8884,1976,0.0,Biography
The Godfather: Part II,202,"Crime, Drama",9.0,R,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",1215808,1974,57.3,Crime
12 Angry Men,96,"Crime, Drama",9.0,Approved,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",753244,1957,4.36,Crime
Toma,140,"Biography, Drama, Music",8.9,Not Rated,Dragan Bjelogrlic,"Milan Maric, Tamara Dragicevic, Petar Bencina, Andrija Kuzmanovic",10208,2021,0.0,Biography
Peranbu,147,Drama,8.9,Not Rated,Ram,"Mammootty, Sadhana, Anjali, Anjali Ameer",14526,2018,0.0,Drama
C/o Kancharapalem,152,Drama,8.9,Not Rated,Venkatesh Maha,"Radha Bessy, Subba Rao Vepada, Praneeta Patnaik, Karthik Rathnam",6472,2018,0.0,Drama
Natsamrat,166,"Drama, Family",8.9,Not Rated,Mahesh Manjrekar,"Nana Patekar, Medha Manjrekar, Mrunmayee Deshpande, Sunil Barve",6410,2016,0.0,Drama
Love on a Leash,90,"Comedy, Drama, Fantasy",8.9,Not Rated,Fen Tian,"Gloria Winship Ayon, Shane Ayon, Jana Camp, Stephen Kramer Glickman",7345,2011,0.0,Comedy
Süt Kardesler,80,"Comedy, Family, Mystery",8.9,Not Rated,Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe, Hale Soygazi",19668,1976,0.0,Comedy
The Chaos Class Failed the Class,91,Comedy,8.9,Not Rated,Ertem Egilmez,"Kemal Sunal, Münir Özkul, Semra Özdamar, Adile Nasit",23059,1976,0.0,Comedy
Kireedam,124,"Action, Drama",8.9,Not Rated,Sibi Malayil,"Mohanlal, Thilakan, Kaviyoor Ponnamma, Parvathi",7327,1989,0.0,Action
The Lord of the Rings: The Return of the King,201,"Action, Adventure, Drama",8.9,PG-13,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1756885,2003,377.85,Action
Pulp Fiction,154,"Crime, Drama",8.9,R,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",1960161,1994,107.93,Crime
Schindler's List,195,"Biography, Drama, History",8.9,R,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",1300923,1993,96.9,Biography
Balkan Spy,95,"Comedy, Drama",8.9,Not Rated,Dusan Kovacevic,"Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac, Sonja Savic",11341,1984,0.0,Comedy
The Marathon Family,92,"Comedy, Drama",8.9,Not Rated,Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic, Mija Aleksic",15609,1982,0.0,Comedy
Pariyerum Perumal,154,Drama,8.8,Not Rated,Mari Selvaraj,"Kathir, Anandhi, Yogi Babu, Lijeesh",14958,2018,0.0,Drama
The Phantom of the Opera at the Royal Albert Hall,137,"Drama, Music, Musical",8.8,Not Rated,Nick Morris,"Ramin Karimloo, Sierra Boggess, Hadley Fraser, Wendy Ferguson",8956,2011,0.0,Drama
Les Misérables in Concert: The 25th Anniversary,178,"Drama, Music, Musical",8.8,Not Rated,Nick Morris,"Alfie Boe, Norm Lewis, Matt Lucas, Jenny Galloway",5893,2010,0.0,Drama
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,138,"Animation, Action, Fantasy",8.8,Not Rated,Haruo Sotozaki,error,8349,2020,0.0,Animation
Inception,148,"Action, Adventure, Sci-Fi",8.8,PG-13,Christopher Nolan,error,2238483,2010,292.58,Action
The Chaos Class Is Waking Up,94,"Adventure, Comedy",8.8,Not Rated,Ertem Egilmez,error,19417,1977,0.0,Adventure
A Northern Story of Valor,168,"Drama, History",8.8,Not Rated,T. Hariharan,error,5163,1989,0.0,Drama
Manichithrathazhu,169,"Comedy, Horror, Music",8.8,Not Rated,Fazil,error,10250,1993,0.0,Comedy
Fight Club,139,Drama,8.8,R,David Fincher,error,2006636,1999,37.03,Drama
The Lord of the Rings: The Fellowship of the Ring,178,"Action, Adventure, Drama",8.8,PG-13,Peter Jackson,error,1778744,2001,315.54,Action
Forrest Gump,142,"Drama, Romance",8.8,PG-13,Robert Zemeckis,error,1966988,1994,330.25,Drama
Who's Singin' Over There?,86,"Adventure, Comedy, Drama",8.8,Not Rated,Slobodan Sijan,error,15174,1980,0.0,Adventure
"The Good, the Bad and the Ugly",178,"Adventure, Western",8.8,R,Sergio Leone,error,735179,1966,6.1,Adventure
The Human Condition III: A Soldier's Prayer,190,"Drama, History, War",8.8,Not Rated,Masaki Kobayashi,error,6020,1961,0.0,Drama
Kill Bill: The Whole Bloody Affair,247,"Action, Crime, Thriller",8.7,Not Rated,Quentin Tarantino,error,9024,2011,0.0,Action
The Mountain II,135,"Action, Drama, War",8.7,Not Rated,Alper Caglar,error,107588,2016,0.0,Action
Maanaadu,147,"Action, Adventure, Sci-Fi",8.7,PG-13,Venkat Prabhu,error,19625,2021,0.0,Action
Poove Unakkaga,150,"Comedy, Drama, Romance",8.7,Not Rated,Vikraman,error,6037,1996,0.0,Comedy
Monpura,136,"Crime, Drama, Musical",8.7,Not Rated,Giasuddin Selim,error,7431,2009,0.0,Crime
Attack on Titan: Chronicle,122,"Animation, Action, Adventure",8.7,Not Rated,Masashi Koizuka,error,9322,2020,0.0,Animation
Sarpatta Parambarai,173,"Action, Drama, Sport",8.7,Not Rated,Pa. Ranjith,error,20205,2021,0.0,Action
Spider-Man: No Way Home,148,"Action, Adventure, Fantasy",8.7,PG-13,Jon Watts,error,471111,2021,0.0,Action
Dara of Jasenovac,130,"Drama, War",8.7,R,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic",80400,2020,0.0,Drama
Shershaah,135,"Action, Biography, Drama",8.7,TV-14,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri",113374,2021,0.0,Action
Sardar Udham,164,"Biography, Crime, Drama",8.7,TV-MA,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar",36429,2021,0.0,Biography
Happy Days,92,"Comedy, Drama, Family",8.7,Not Rated,Orhan Aksoy,"Münir Özkul, Adile Nasit, Sener Sen, Aysen Gruda",10938,1978,0.0,Comedy
Anbe Sivam,160,"Adventure, Comedy, Drama",8.7,Not Rated,Sundar C.,"Kamal Haasan, Madhavan, Kiran Rathod, Nassar",20169,2003,0.0,Adventure
Devasuram,187,"Action, Drama, Thriller",8.7,Not Rated,I.V. Sasi,"Mohanlal, Revathi, Nedumudi Venu, Innocent",5575,1993,0.0,Action
A Dog's Will,104,"Comedy, Drama, Fantasy",8.7,Not Rated,Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga",13863,2000,0.0,Comedy
My Dear Brother,92,Drama,8.7,Not Rated,Ertem Egilmez,"Tarik Akan, Kahraman Kiral, Halit Akçatepe, Metin Akpinar",9324,1973,0.0,Drama
"Saban, Son of Saban",90,"Comedy, Crime, Mystery",8.7,Not Rated,Ertem Egilmez,"Kemal Sunal, Halit Akçatepe, Sener Sen, Sevda Aktolga",17389,1977,0.0,Comedy
Kibar Feyzo,83,"Comedy, Romance",8.7,Not Rated,Atif Yilmaz,"Kemal Sunal, Sener Sen, Ilyas Salman, Adile Nasit",16011,1978,0.0,Comedy
The Chaos Class Is on Vacation,97,"Adventure, Comedy, Drama",8.7,Not Rated,Ertem Egilmez,"Sevda Aktolga, Ahmet Ariman, Filiz Bozkurt, Aysen Gruda",17572,1977,0.0,Adventure
The Broken Landlord,101,"Comedy, Drama",8.7,Not Rated,Nesli Çölgeçen,"Sener Sen, Erdal Özyagcilar, Nilgün Nazli, Füsun Demirel",14996,1985,0.0,Comedy
Barking at the Stars,95,"Comedy, Romance",8.7,Not Rated,Zdravko Sotra,"Dragan Micanovic, Natasa Tapuskovic, Nikola Simic, Velimir 'Bata' Zivojinovic",7388,1998,0.0,Comedy
The Lord of the Rings: The Two Towers,179,"Action, Adventure, Drama",8.7,PG,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",1587360,2002,342.55,Action
The Matrix,136,"Action, Sci-Fi",8.7,R,Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",1838504,1999,171.48,Action
"Pretty Village, Pretty Flame",115,"Comedy, Drama, History",8.7,Not Rated,Srdjan Dragojevic,"Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic, Zoran Cvijanovic",16208,1996,0.0,Comedy
Thevar Magan,145,Drama,8.7,Not Rated,Bharathan,"Kamal Haasan, Shivaji Ganesan, Nassar, Revathi",6813,1992,0.0,Drama
Goodfellas,146,"Biography, Crime, Drama",8.7,R,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",1101449,1990,46.84,Biography
